EE Code,Fund Code,Fund Code Desc
A1B2,699,Crt Local Unrestricted
A0UB,659-18,salaries 2017
A1U3,699,Crt Local Unrestricted
A1Y0,598-26,SAMSHA HARP
A1RC,UNA,Unassigned
A08S,650-24,Retreat
A0G5,UNA,Unassigned
A06A,UNA,Unassigned
A0PP,UNA,Unassigned
A03A,609-19,CSBG
A1PK,UNA,Unassigned
A1C1,UNA,Unassigned
A0DL,UNA,Unassigned
A1I8,332-24,Healthy Families
A0AG,544-22,Oec Infanty Daycare
A160,699,Crt Local Unrestricted
A1M1,UNA,Unassigned
A1MH,UNA,Unassigned
A1KG,546-23,DSS Assurance 16
A076,659-18,salaries 2017
A20E,661-18,ACF HeadStart PA22
A1DU,661-18,ACF HeadStart PA22
A021,699,Crt Local Unrestricted
A1X0,363JOB-26,Job Corps
A0B3,669-18,CRT Local Unrestricted
A112,UNA,Unassigned
A0IO,321-26,Htfd Health Community Responders
A20U,UNA,Unassigned
A1RH,321-24,Htfd Health Community Responders
A1S3,699,Crt Local Unrestricted
A1B5,UNA,Unassigned
A1IV,524-19,Dss Ceap Admin
A1VO,UNA,Unassigned
A211,363DOU-26,Douglas
A0OW,650-25,Retreat
A0S1,609CO-22,CSBG CARES ACT
A052,650-17,Retreat
A1KF,UNA,Unassigned
A1D1,UNA,Unassigned
A1I6,605-17,Elderly Nutrition
A0J7,UNA,Unassigned
A0I7,UNA,Unassigned
A15Y,650-20,Retreat
A02V,UNA,Unassigned
A0SR,UNA,Unassigned
A12C,UNA,Unassigned
A1TO,669-18,CRT Local Unrestricted
A1GR,650-18,Retreat
A0GI,661-17,ACF HeadStart PA22
A04D,605C-19,Congregate
A1TD,650-25,Retreat
A0LQ,659-18,salaries 2017
A1JV,699,Crt Local Unrestricted
A196,611F-26,DSS HIS Federal
A0N5,UNA,Unassigned
A0DU,UNA,Unassigned
A1WS,375EIS-22,Coh Ryan White Early Intervention
A1RX,524-18,Dss Ceap Admin
A0YQ,UNA,Unassigned
A1XM,611S-22,State Portion
A0Y3,544-19,Oec Infanty Daycare
A1AL,424-26,COH McKinney
A0C8,UNA,Unassigned
A0K7,611-19,Dss His
A1YD,UNA,Unassigned
A1LM,UNA,Unassigned
A1KO,524-21,Dss Ceap Admin
A0UW,661-18,ACF HeadStart PA22
A1JG,419-18,Coh Sr Full Day
A1R7,363DOU-26,Douglas
A1WZ,659-17,salaries 2017
A16N,605HD-24,Elderly Nutrition Home Delivered
A0CG,650-25,Retreat
A1A7,564C-22,Congregate
A08U,661-18,ACF HeadStart PA22
